민원접수일,민원접수시간,주소,경도,위도
20211111,16:21:00,"제기동역 용두치안센터에서 성일중학교 사이길, 동대문구 왕산로 23길 35   대신택배앞 ",127.033997269967,37.5783459546265
20211112,12:07:00,동대문구 홍릉로 19 (청량리동 710) 앞 도로,127.044319385424,37.582036064559
20211112,14:55:00,동대문구 제기동 364,127.041147697583,37.5846934311433
20211112,15:34:00,동대문구 제기동 364 앞,127.041147697583,37.5846934311433
20211112,15:45:00,동대문구 왕산로23길 35(제기동 1158-58번지) 대신택배 앞,127.034151379007,37.5799052604262
20211112,18:01:00,경동시장로12길 43(제기동 473-2) 앞 주택가 교차로,127.043088313228,37.5822539300743
20211113,11:34:00,서울 동대문구 회기동 57-2,127.05532846586564,37.59101386539128
20211113,11:39:00,서울 동대문구 청량리동 235-14,127.04760121730816,37.582919562332414
20211113,13:58:00,서울 동대문구 제기동 55-11,127.03483015076284,37.582011765575245
20211113,14:18:00,동대문구 고산자로 476(제기동 900-1)제기동 우체국앞 정류소,127.03889333663,37.5821360952478
20211114,10:10:00,제기로38길 31(청량리동 40-20) 미용실 앞,127.049842496876,37.584563310283
20211114,13:40:00,동대문구 제기동우체국 앞 경동시장앞(06167)버스 정류장에서 제기사거리 사이 ,127.038931943729,37.5821384251101
20211114,20:18:00,서울 동대문구 제기동 252-2,127.03380869499031,37.58266753531181
20211115,15:13:00,동대문구 왕산로43길 10(청량리동 50-27번지) 우진식당 앞,127.04862701447,37.5835492989337
20211115,21:16:00,제기로20길 6(제기동 289-13) 상가 앞    ,127.041434952705,37.5863672855204
20211115,23:41:00,제기로20길 6(제기동 289-13) 상가 앞에,127.041434952705,37.5863672855204
20211116,14:57:00,동대문구 제기동 정릉천동로 136,127.036527851002,37.5842261644227
20211116,15:40:00,이문로 39(회기동 346-29) 앞 ,127.056526746116,37.591159618723
20211116,18:05:00,동대문구 제기동 481  이면도로 ,127.043263726565,37.5821360159664
20211116,18:51:00,동대문구 약령시로 122(제기동 438-9) 앞,127.043470482089,37.5829617004883
20211117,08:34:00,답십리2동 49-49,127.058998300693,37.5712515867427
20211117,09:48:00,서울 동대문구 청량리동 206-57,127.0475180832794,37.59016808296125
20211117,11:52:00,동대문구 경희대로4길 7 (회기동 16-12) 앞 ,127.053099552226,37.5925560359341
20211117,11:56:00,동대문구 정릉천동로 136(제기동 892-90번지) 앞,127.036527851002,37.5842261644227
20211117,12:07:00,동대문구 정릉천동로 136-1(제기동 880번지) 동원교회 앞,127.03667416641,37.5845367815
20211117,15:18:00,동대문구 약령시로 104-1 (제기동 591-15) 앞,127.041616551154,37.5828979476325
20211118,12:59:00,동대문구 약령시로 68 ( 제기동 952) 본초밥상의 네거리의순이 사이 도로,127.03743601512,37.582745998394
20211118,13:01:00,동대문구 경희대로1길 34(회기동 60-84번지),127.050357893584,37.5920039383516
20211118,16:12:00,동대문구 제기동 274-24 앞 ,127.033569812242,37.5801459926006
20211119,10:02:00,동대문구. 회기로 19길 12(  회기동 16-23) 옆 주정차 ,127.052987455267,37.5920772992123
20211119,10:48:00,답십리1동 256-7(전농로3길 52-2) 페리카나치킨 바로 앞,127.056067277821,37.5700350498163
20211119,15:23:00,동대문구 제기로 2-1(지번)제기동 137-173 주소지건물앞 126모2356 차량 불법주차 과태료 단속요청합니다. ,127.033279897529,37.5862902186894
